key,display_name,geojson_nazwa,voivodship,population,area_km2
powiat pleszewski__wielkopolskie,Powiat pleszewski,powiat pleszewski,wielkopolskie,62962,713.07
powiat poddębicki__łódzkie,Powiat poddębicki,powiat poddębicki,łódzkie,41037,881.21
powiat policki__zachodniopomorskie,Powiat policki,powiat policki,zachodniopomorskie,81229,665.33
powiat polkowicki__dolnośląskie,Powiat polkowicki,powiat polkowicki,dolnośląskie,63082,779.46
powiat poznański__wielkopolskie,Powiat poznański,powiat poznański,wielkopolskie,403417,1899.88
powiat proszowicki__małopolskie,Powiat proszowicki,powiat proszowicki,małopolskie,43160,414.87
powiat prudnicki__opolskie,Powiat prudnicki,powiat prudnicki,opolskie,55091,571.55
powiat pruszkowski__mazowieckie,Powiat pruszkowski,powiat pruszkowski,mazowieckie,166436,246.30
powiat przasnyski__mazowieckie,Powiat przasnyski,powiat przasnyski,mazowieckie,52355,1218.62
powiat przemyski__podkarpackie,Powiat przemyski,powiat przemyski,podkarpackie,73968,1211.22
powiat przeworski__podkarpackie,Powiat przeworski,powiat przeworski,podkarpackie,78227,698.02
powiat przysuski__mazowieckie,Powiat przysuski,powiat przysuski,mazowieckie,41360,801.19
powiat pszczyński__śląskie,Powiat pszczyński,powiat pszczyński,śląskie,111682,471.16
powiat pucki__pomorskie,Powiat pucki,powiat pucki,pomorskie,87183,581.18
powiat puławski__lubelskie,Powiat puławski,powiat puławski,lubelskie,112835,934.09
powiat pułtuski__mazowieckie,Powiat pułtuski,powiat pułtuski,mazowieckie,51817,827.42
powiat pyrzycki__zachodniopomorskie,Powiat pyrzycki,powiat pyrzycki,zachodniopomorskie,39251,726.00
powiat płocki__mazowieckie,Powiat płocki,powiat płocki,mazowieckie,110927,1796.63
powiat płoński__mazowieckie,Powiat płoński,powiat płoński,mazowieckie,86868,1379.79
powiat raciborski__śląskie,Powiat raciborski,powiat raciborski,śląskie,107926,543.76
powiat radomski__mazowieckie,Powiat radomski,powiat radomski,mazowieckie,152237,1529.78
powiat radomszczański__łódzkie,Powiat radomszczański,powiat radomszczański,łódzkie,112255,1442.57
powiat radziejowski__kujawsko-pomorskie,Powiat radziejowski,powiat radziejowski,kujawsko-pomorskie,40211,607.20
powiat radzyński__lubelskie,Powiat radzyński,powiat radzyński,lubelskie,58604,965.06
powiat rawicki__wielkopolskie,Powiat rawicki,powiat rawicki,wielkopolskie,60233,553.52
